t,cmd_left,cmd_right,Tu,Tr,u,v,r
292.23333333333335,0.3333,0.4667,33.37017879472675,2.764858358596738,0.8919611581017339,-0.714756795254166,1.216862562087761
292.26666666666665,0.3667,0.4333,32.78069466642583,1.3831190182842192,0.8855753020703382,-0.6953476497309763,1.1109879084345238
292.3,0.4,0.4,32.583645022070634,-0.0,0.8811028724055227,-0.6728969996079812,0.9977352724451282
292.3333333333333,0.4333,0.3667,32.78069466642583,-1.3831190182842192,0.8790805712760039,-0.6475485156811831,0.8772601318846187
292.3666666666667,0.4667,0.3333,33.37017879472675,-2.7648583585967375,0.8799769670351673,-0.6194151343255899,0.7493376936839264
292.4,0.5,0.3,34.33668095595582,-4.131581031890573,0.8841951904978166,-0.5885476410087905,0.6133993110918377
292.43333333333334,0.5333,0.2667,35.66217886167396,-5.48237882178764,0.892055095547197,-0.5549147481109494,0.4688857960867877
292.46666666666664,0.5667,0.2333,37.32638210209518,-6.8165641127440555,0.9037922378845898,-0.5183789690480407,0.31469122047203335
292.5,0.6,0.2,39.288003112390996,-8.121984309686718,0.919557454638565,-0.4786616148584748,0.14907722594500034
292.5333333333333,0.6333,0.1667,41.5160191425547,-9.399056098310568,0.939381871149114,-0.4353119860070785,-0.030103127887498554
292.56666666666666,0.6667,0.1333,43.97964606914165,-10.648413038970565,0.963173489385417,-0.3877190021882344,-0.22232975661327603
292.6,0.7,0.1,46.623973020707595,-11.860046223950441,0.9906444070814949,-0.33540742444805277,-0.4193865434099774
292.6333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.021268245719159,-0.27822177468336523,-0.613537402464581
292.6666666666667,0.7,0.1,46.623973020707595,-11.860046223950441,1.0501741798535116,-0.2172945648767029,-0.764110094883748
292.7,0.7,0.1,46.623973020707595,-11.860046223950441,1.0767220413660572,-0.15449814603563417,-0.8820525766659298
292.73333333333335,0.7,0.1,46.623973020707595,-11.860046223950441,1.1005321932106091,-0.09120293024766601,-0.9767312243993275
292.76666666666665,0.7,0.1,46.623973020707595,-11.860046223950441,1.1214172481907574,-0.028361612513052845,-1.0552960645019482
292.8,0.7,0.1,46.623973020707595,-11.860046223950441,1.1393202287019113,0.033387004690106865,-1.1228070300410131
292.8333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.1542684532619478,0.09360912071893668,-1.1826456297817505
292.8666666666667,0.7,0.1,46.623973020707595,-11.860046223950441,1.166342935300942,0.15200518398458326,-1.2369603180590172
292.9,0.7,0.1,46.623973020707595,-11.860046223950441,1.1756590802168838,0.2083690810929317,-1.287050266203063
292.93333333333334,0.7,0.1,46.623973020707595,-11.860046223950441,1.1823550314204578,0.26255141733720333,-1.3336582497795764
292.96666666666664,0.7,0.1,46.623973020707595,-11.860046223950441,1.1865847985322808,0.314436206759575,-1.3771786806191415
293.0,0.7,0.1,46.623973020707595,-11.860046223950441,1.1885140824268414,0.363927602837543,-1.4177990048470932
293.0333333333333,0.7,0.1,46.623973020707595,-11.860046223950441,1.1883174827829817,0.4109434064309407,-1.4555926524655634
293.06666666666666,0.7,0.1,46.623973020707595,-11.860046223950441,1.1861763194985098,0.4554128565331555,-1.4905783786105382
